ndvi,ndwi,s1_vh_db,s1_vv_vh_diff_db,crop_type
0.488,-0.0681,-20.225,7.508,other_row_crop
0.2739,-0.1719,-16.487,4.061,other_row_crop
0.6993,-0.0942,-14.799,3.018,paddy_rice
0.5339,-0.1085,-13.426,5.223,paddy_rice
0.4724,-0.3298,-19.068,7.885,wheat_cereal
0.095,-0.2162,-15.155,3.449,other_row_crop
0.2975,-0.087,-18.7,9.132,other_row_crop
0.438,-0.2549,-13.612,5.243,other_row_crop
0.6075,-0.2571,-18.025,8.407,wheat_cereal
0.3994,-0.1283,-16.949,4.5,other_row_crop
0.4023,-0.3082,-19.542,1.236,paddy_rice
0.4432,0.2357,-17.923,7.474,other_row_crop
0.4314,-0.1832,-18.274,10.101,wheat_cereal
0.5006,-0.1267,-10.646,4.31,paddy_rice
0.5295,0.0019,-13.109,2.974,paddy_rice
0.6749,-0.1776,-13.165,5.576,other_row_crop
0.4989,-0.3081,-15.957,7.606,paddy_rice
0.3299,0.0211,-14.388,2.9,paddy_rice
0.2694,-0.0641,-22.134,1.063,other_row_crop
0.5362,-0.119,-14.204,4.194,paddy_rice
0.4158,-0.0889,-15.241,5.384,paddy_rice
0.6027,-0.1213,-14.16,1.721,paddy_rice
0.4145,-0.2905,-20.426,6.696,other_row_crop
0.3799,-0.1981,-21.591,15.962,wheat_cereal
0.6702,-0.1965,-17.068,5.55,other_row_crop
0.5731,-0.1719,-13.805,1.996,paddy_rice
0.251,-0.256,-17.324,11.164,other_row_crop
0.6362,-0.1827,-23.763,10.602,wheat_cereal
0.2129,-0.0787,-17.346,9.902,other_row_crop
0.4426,-0.2645,-18.6,11.306,wheat_cereal
0.4445,0.1262,-13.917,3.666,paddy_rice
0.3432,-0.0486,-13.427,4.982,other_row_crop
0.4766,-0.2721,-19.864,11.035,wheat_cereal
0.5899,-0.0741,-14.747,4.496,paddy_rice
0.6182,-0.053,-11.594,3.282,paddy_rice
0.4054,-0.3254,-16.705,5.595,wheat_cereal
0.488,-0.1406,-18.669,11.171,wheat_cereal
0.3008,-0.0126,-16.037,9.017,other_row_crop
0.292,-0.1173,-19.165,7.247,other_row_crop
0.3486,-0.1151,-18.522,7.564,wheat_cereal
0.6269,-0.2988,-17.702,12.58,wheat_cereal
0.0614,-0.217,-17.951,5.565,other_row_crop
0.3574,-0.2138,-18.459,10.322,wheat_cereal
0.5328,-0.1414,-19.744,7.905,wheat_cereal
0.4593,-0.1458,-25.94,6.089,wheat_cereal
0.6405,-0.1899,-16.3,4.857,paddy_rice
0.4868,-0.346,-18.907,8.951,wheat_cereal
0.4247,0.0062,-16.761,2.152,paddy_rice
0.233,-0.2953,-18.858,11.318,wheat_cereal
0.588,-0.1249,-20.565,10.707,other_row_crop
0.5745,-0.2969,-16.997,8.345,wheat_cereal
0.4948,-0.3424,-18.602,8.909,wheat_cereal
0.6752,-0.1822,-22.14,11.115,wheat_cereal
0.5803,-0.2235,-15.807,10.034,wheat_cereal
0.6193,-0.2327,-16.471,11.126,wheat_cereal
0.445,-0.1435,-19.567,4.15,other_row_crop
0.4175,-0.2815,-21.698,11.6,wheat_cereal
0.4121,-0.2167,-20.965,9.992,wheat_cereal
0.6399,-0.2472,-18.398,5.616,paddy_rice
0.3898,-0.2694,-20.343,9.752,wheat_cereal
0.552,0.0515,-16.925,4.762,paddy_rice
0.3908,-0.1492,-14.88,9.117,wheat_cereal
0.3675,-0.1936,-16.576,6.834,other_row_crop
0.4306,-0.0042,-14.466,4.983,paddy_rice
0.5229,0.0635,-15.044,3.37,paddy_rice
0.4602,-0.0474,-15.617,3.825,paddy_rice
0.3035,0.0391,-21.375,10.017,wheat_cereal
0.574,0.0689,-15.513,3.014,paddy_rice
0.4953,-0.0215,-17.478,12.502,wheat_cereal
0.4774,-0.316,-16.46,12.39,wheat_cereal
0.6347,-0.0653,-14.651,10.581,wheat_cereal
0.6653,-0.0707,-13.073,9.594,other_row_crop
0.3531,-0.2015,-18.714,11.184,wheat_cereal
0.5208,0.1442,-18.962,4.972,paddy_rice
0.2146,-0.3114,-13.51,8.871,other_row_crop
0.4261,-0.1921,-13.969,6.307,other_row_crop
0.421,-0.1914,-16.067,1.938,paddy_rice
0.6341,-0.0594,-18.346,2.936,paddy_rice
0.4627,-0.2243,-20.083,5.192,other_row_crop
0.4618,-0.2438,-21.354,12.403,wheat_cereal
0.3904,-0.1944,-18.966,9.37,wheat_cereal
0.6192,-0.0034,-19.414,3.93,paddy_rice
0.4099,-0.2455,-16.331,6.114,other_row_crop
0.4711,-0.018,-18.638,3.209,paddy_rice
0.5654,-0.2403,-14.394,3.185,paddy_rice
0.656,-0.0421,-14.046,9.853,other_row_crop
0.5715,-0.2391,-14.913,2.538,paddy_rice
0.478,-0.2826,-20.759,11.514,wheat_cereal
0.7448,-0.2297,-20.068,10.776,wheat_cereal
0.4651,-0.175,-20.283,7.194,wheat_cereal
0.3641,-0.3518,-19.184,9.114,other_row_crop
0.2582,-0.2394,-19.121,10.405,other_row_crop
0.2895,-0.1745,-17.466,5.177,other_row_crop
0.51,-0.0439,-11.811,5.887,paddy_rice
0.5255,-0.1474,-15.452,0.223,paddy_rice
0.3594,-0.208,-19.998,8.042,wheat_cereal
0.5815,0.0922,-14.489,5.672,paddy_rice
0.6232,-0.0757,-18.705,3.13,paddy_rice
0.3868,-0.1758,-23.949,8.163,other_row_crop
0.3292,0.0029,-20.92,8.918,other_row_crop
0.6275,-0.1875,-20.116,9.364,other_row_crop
0.2546,0.0429,-21.346,6.112,other_row_crop
0.1496,-0.2212,-15.332,5.138,other_row_crop
0.3605,-0.2446,-18.203,12.514,wheat_cereal
0.4881,-0.1244,-16.849,7.055,paddy_rice
0.4698,-0.1217,-16.44,4.999,paddy_rice
0.7376,-0.0951,-17.52,7.919,wheat_cereal
0.3922,-0.213,-21.588,9.186,wheat_cereal
0.3616,-0.27,-21.273,10.032,wheat_cereal
0.5888,-0.1375,-15.598,12.136,wheat_cereal
0.526,-0.3297,-16.955,5.43,other_row_crop
0.3396,-0.0099,-19.019,6.972,other_row_crop
0.6474,-0.0385,-16.533,1.743,paddy_rice
0.4948,0.0224,-14.338,8.643,paddy_rice
0.3516,0.1502,-15.834,7.486,paddy_rice
0.556,0.1022,-15.357,6.003,paddy_rice
0.481,-0.1749,-19.666,3.244,other_row_crop
0.3852,-0.1144,-21.391,9.402,other_row_crop
0.4804,-0.4012,-20.046,4.554,wheat_cereal
0.5208,-0.2215,-13.85,5.306,paddy_rice
0.6854,-0.1122,-17.408,12.404,wheat_cereal
0.3104,-0.1107,-17.332,5.752,paddy_rice
0.4261,-0.1909,-19.368,10.074,wheat_cereal
0.5023,-0.1595,-17.659,9.001,wheat_cereal
0.4786,-0.0526,-18.026,9.81,other_row_crop
0.3774,-0.3178,-16.951,2.477,other_row_crop
0.6674,-0.2667,-17.58,6.0,other_row_crop
0.4438,-0.2309,-16.496,8.477,other_row_crop
0.5568,-0.0684,-14.267,3.768,paddy_rice
0.5121,-0.0851,-17.592,5.372,paddy_rice
0.5995,-0.0013,-8.839,3.935,paddy_rice
0.4208,-0.1343,-15.406,5.006,paddy_rice
0.3826,-0.1026,-21.53,6.867,wheat_cereal
0.632,-0.105,-13.235,2.414,paddy_rice
0.5509,-0.0063,-17.743,7.091,other_row_crop
0.6104,0.175,-16.138,3.928,paddy_rice
0.4743,-0.2369,-18.026,7.84,other_row_crop
0.4,0.0218,-15.264,4.468,other_row_crop
0.5202,-0.1511,-11.471,6.148,other_row_crop
0.0898,-0.142,-19.096,4.396,other_row_crop
0.5887,-0.3612,-15.065,12.502,wheat_cereal
0.3776,-0.1186,-21.892,5.537,other_row_crop
0.5627,-0.1245,-19.921,10.172,wheat_cereal
0.5085,-0.0673,-15.723,5.404,paddy_rice
0.3876,-0.06,-15.801,8.325,other_row_crop
0.4882,-0.0251,-15.248,9.196,other_row_crop
0.4112,-0.0093,-17.919,7.822,wheat_cereal
0.5815,-0.2163,-18.712,11.713,wheat_cereal
0.6073,-0.2845,-15.145,4.287,paddy_rice
0.4681,-0.0254,-19.742,4.722,paddy_rice
0.5131,-0.0888,-16.524,1.384,paddy_rice
0.3108,-0.1837,-18.423,6.641,other_row_crop
0.5195,-0.2389,-16.368,12.031,wheat_cereal
0.0592,-0.1458,-21.96,6.392,other_row_crop
0.4777,-0.1509,-15.031,10.745,wheat_cereal
0.3408,-0.2738,-19.576,8.185,wheat_cereal
0.6427,0.0212,-15.396,2.957,paddy_rice
0.6304,0.0528,-13.904,1.811,paddy_rice
0.4799,-0.0461,-18.32,12.652,wheat_cereal
-0.0744,-0.0168,-18.735,13.084,other_row_crop
0.3852,-0.3503,-16.838,9.702,wheat_cereal
0.332,-0.3978,-21.46,11.807,wheat_cereal
0.4621,-0.0794,-19.183,1.835,paddy_rice
0.5155,-0.212,-18.155,1.876,other_row_crop
0.4652,-0.0018,-14.044,5.498,paddy_rice
0.4729,-0.2116,-17.055,8.331,wheat_cereal
0.2353,-0.216,-20.402,9.424,other_row_crop
0.3898,-0.1212,-20.486,8.648,wheat_cereal
0.5296,-0.1708,-16.621,2.854,paddy_rice
0.5496,-0.3119,-19.546,7.817,wheat_cereal
0.4023,-0.0212,-20.323,8.265,other_row_crop
0.5705,-0.29,-20.639,5.832,wheat_cereal
0.5994,0.0291,-15.881,6.699,paddy_rice
0.7023,-0.0476,-18.596,3.237,paddy_rice
0.4409,-0.2631,-24.698,11.656,wheat_cereal
0.4563,-0.0141,-18.261,7.0,other_row_crop
0.5962,-0.1944,-15.433,4.506,paddy_rice
0.4864,-0.3148,-15.55,2.965,other_row_crop
0.4201,-0.0305,-15.883,8.041,paddy_rice
0.368,-0.2047,-15.029,6.563,other_row_crop
0.6293,-0.1803,-15.744,4.646,paddy_rice
0.5319,-0.1533,-19.019,7.515,wheat_cereal
0.6851,-0.1743,-19.574,12.647,wheat_cereal
0.5419,-0.1511,-13.693,4.762,paddy_rice
0.5409,0.0324,-12.604,3.912,paddy_rice
0.4078,-0.1813,-13.541,8.993,other_row_crop
0.5098,-0.1997,-14.835,3.465,paddy_rice
0.5943,-0.0501,-17.547,1.177,paddy_rice
0.3377,-0.2561,-20.863,11.061,wheat_cereal
0.5711,-0.015,-14.2,4.957,paddy_rice
0.6319,-0.0106,-16.284,5.154,other_row_crop
0.4486,-0.1822,-17.821,10.207,wheat_cereal
0.4858,0.0862,-16.392,3.271,paddy_rice
0.5088,-0.1772,-24.689,8.996,wheat_cereal
0.2685,0.0081,-19.038,6.951,other_row_crop
0.5137,-0.229,-18.084,5.981,wheat_cereal
0.5143,-0.0603,-14.81,2.461,paddy_rice
0.2933,-0.0124,-16.619,3.08,other_row_crop
0.4698,-0.0502,-12.05,1.89,paddy_rice
0.0767,-0.064,-20.763,5.432,other_row_crop
0.5052,-0.3263,-16.983,12.223,wheat_cereal
0.4604,0.0023,-14.524,2.845,paddy_rice
0.6281,-0.14,-24.837,8.749,wheat_cereal
0.4231,0.0222,-14.444,6.902,paddy_rice
0.5664,-0.0978,-17.804,2.444,paddy_rice
0.4562,-0.1051,-20.427,7.005,wheat_cereal
0.5682,-0.1911,-20.859,8.348,wheat_cereal
0.2794,-0.1237,-15.895,7.508,other_row_crop
0.5454,0.1314,-17.154,4.421,paddy_rice
0.545,-0.0081,-17.033,7.999,paddy_rice
0.5379,-0.3262,-21.418,8.973,wheat_cereal
0.3796,-0.1274,-14.712,8.086,other_row_crop
0.4934,-0.1131,-15.36,4.422,paddy_rice
0.6395,0.1627,-17.641,4.644,other_row_crop
0.663,-0.4216,-17.735,7.617,wheat_cereal
0.2815,-0.1267,-19.756,9.317,other_row_crop
0.4473,-0.1313,-20.172,8.194,other_row_crop
0.436,-0.2837,-20.333,8.243,wheat_cereal
0.464,0.0633,-15.324,5.4,paddy_rice
0.366,-0.3758,-20.627,13.602,wheat_cereal
0.3975,-0.2006,-20.282,12.644,wheat_cereal
0.2715,-0.1666,-14.941,12.47,other_row_crop
0.3602,-0.3452,-19.279,8.926,wheat_cereal
0.5395,-0.0796,-15.276,6.966,paddy_rice
0.1972,-0.2717,-18.373,5.551,other_row_crop
0.6331,-0.0257,-14.035,5.676,paddy_rice
0.6055,-0.1368,-15.955,1.673,paddy_rice
0.4506,-0.1797,-20.972,13.207,wheat_cereal
0.2567,-0.2946,-18.758,5.833,other_row_crop
0.4686,-0.1685,-15.346,7.288,other_row_crop
0.4404,-0.369,-18.586,10.053,wheat_cereal
0.218,-0.2828,-22.151,11.85,wheat_cereal
0.5675,-0.1006,-18.516,9.852,other_row_crop
0.145,-0.1555,-18.895,15.271,other_row_crop
0.5201,-0.0034,-14.719,-0.078,paddy_rice
0.2239,-0.1733,-14.331,6.739,other_row_crop
0.4727,-0.0945,-14.659,10.791,other_row_crop
0.5689,-0.1602,-12.865,2.014,paddy_rice
0.4588,-0.0377,-15.451,6.849,paddy_rice
0.48,-0.3122,-18.734,9.866,other_row_crop
0.3611,-0.1587,-15.788,10.249,wheat_cereal
0.3737,-0.1216,-15.904,5.097,other_row_crop
0.5019,-0.069,-14.332,4.045,other_row_crop
0.4732,-0.2489,-10.681,4.365,other_row_crop
0.4887,-0.2063,-20.721,10.108,wheat_cereal
0.5189,-0.1825,-19.006,11.924,wheat_cereal
0.2373,0.0136,-16.007,5.122,other_row_crop
0.6491,-0.0247,-17.782,8.02,paddy_rice
0.2882,-0.2057,-16.346,10.089,wheat_cereal
0.6923,-0.2532,-21.587,13.538,wheat_cereal
0.4274,0.0143,-20.125,3.333,paddy_rice
0.5908,-0.0497,-10.933,4.562,paddy_rice
0.3738,-0.2955,-15.922,8.485,other_row_crop
0.4276,-0.218,-20.144,12.191,wheat_cereal
0.4533,-0.3532,-21.031,4.902,other_row_crop
0.3299,-0.1345,-14.712,4.882,other_row_crop
0.5625,-0.1954,-16.125,4.981,paddy_rice
0.117,-0.2031,-22.194,9.436,other_row_crop
0.4985,-0.2078,-20.79,14.187,wheat_cereal
0.4773,-0.3006,-19.511,8.751,wheat_cereal
0.5822,-0.2248,-21.186,8.326,wheat_cereal
0.4743,0.0892,-13.559,3.478,paddy_rice
0.4315,-0.063,-20.604,9.164,wheat_cereal
0.5136,-0.0426,-17.497,6.686,paddy_rice
0.4466,-0.0511,-17.368,10.287,wheat_cereal
0.4684,-0.0774,-16.566,0.757,paddy_rice
0.5725,-0.0389,-16.977,1.971,paddy_rice
0.5942,-0.0197,-15.075,5.728,paddy_rice
0.3857,-0.2495,-17.896,10.456,wheat_cereal
0.597,-0.17,-16.336,2.692,other_row_crop
0.3467,-0.0344,-15.0,3.275,paddy_rice
0.4832,-0.1268,-17.018,7.573,paddy_rice
0.5202,0.1766,-19.225,5.391,paddy_rice
0.0648,-0.0389,-17.021,10.02,other_row_crop
0.5246,-0.3024,-21.105,6.847,wheat_cereal
0.5897,0.0108,-17.49,5.036,paddy_rice
0.35,-0.2339,-23.084,12.107,wheat_cereal
0.3484,-0.2334,-18.24,10.317,wheat_cereal
0.5035,-0.188,-16.894,8.18,wheat_cereal
0.2756,-0.3175,-17.333,8.739,wheat_cereal
0.308,-0.0631,-16.764,8.76,other_row_crop
0.5273,-0.2808,-20.284,6.861,other_row_crop
0.2452,-0.0396,-17.446,12.606,other_row_crop
0.5309,-0.2274,-14.277,9.221,other_row_crop
0.6601,-0.2466,-20.102,2.99,other_row_crop
0.3992,0.0204,-18.727,6.545,other_row_crop
0.417,-0.3408,-22.898,10.735,wheat_cereal
0.5018,-0.0799,-19.705,8.079,wheat_cereal
0.5826,-0.1613,-14.363,0.971,paddy_rice
0.1893,-0.1479,-19.045,13.798,other_row_crop
0.4042,0.0033,-16.444,14.429,other_row_crop
0.4424,-0.1866,-14.233,3.585,paddy_rice
0.4081,-0.2133,-18.563,8.165,other_row_crop
0.2195,-0.2584,-18.179,8.949,wheat_cereal
0.5904,-0.0723,-20.435,10.81,other_row_crop
0.5289,-0.0965,-12.753,1.153,paddy_rice
0.3635,-0.0553,-16.464,11.218,other_row_crop
0.6319,0.1627,-14.377,4.619,paddy_rice
0.4883,0.0696,-13.855,4.004,paddy_rice
0.6865,0.148,-15.124,2.192,paddy_rice
0.6283,-0.2103,-22.157,11.464,wheat_cereal
0.4655,-0.2374,-15.13,10.879,wheat_cereal
0.4221,-0.2523,-14.842,4.74,paddy_rice
0.5564,-0.3009,-20.642,7.687,wheat_cereal
0.4368,-0.2453,-20.285,6.203,wheat_cereal
0.4327,-0.2734,-15.695,13.294,wheat_cereal
0.5639,-0.1947,-17.3,8.507,other_row_crop
0.4742,-0.2589,-20.021,14.164,wheat_cereal
0.502,0.1441,-15.086,3.256,paddy_rice
0.6113,-0.2183,-20.517,9.439,wheat_cereal
0.4004,-0.1047,-14.555,5.387,paddy_rice
0.1874,-0.3191,-18.497,5.852,other_row_crop
0.3914,-0.1887,-20.104,8.108,wheat_cereal
0.5508,-0.1848,-19.673,8.663,wheat_cereal
0.5397,0.0811,-15.417,3.787,paddy_rice
0.4718,-0.0599,-19.412,5.863,other_row_crop
0.5537,0.1238,-17.716,7.475,paddy_rice
0.3234,-0.1466,-15.849,4.548,other_row_crop
0.5072,-0.133,-16.246,5.909,paddy_rice
0.4596,-0.2307,-18.623,8.827,wheat_cereal
0.251,-0.3165,-20.59,9.0,other_row_crop
0.5498,-0.091,-20.444,9.769,wheat_cereal
0.5696,-0.1109,-16.624,2.337,paddy_rice
0.5107,-0.136,-17.38,2.519,paddy_rice
0.6341,-0.167,-12.321,6.714,wheat_cereal
0.5811,-0.0683,-13.841,5.345,paddy_rice
0.5962,-0.1067,-15.641,5.499,paddy_rice
0.2733,-0.1798,-14.279,8.985,other_row_crop
0.2423,-0.414,-20.443,10.423,other_row_crop
0.5061,-0.2547,-16.039,12.649,wheat_cereal
0.473,-0.0156,-19.303,6.086,paddy_rice
0.4763,-0.1398,-15.357,10.685,wheat_cereal
0.3151,0.06,-20.033,10.085,other_row_crop
0.5043,-0.1983,-14.594,3.91,paddy_rice
0.1846,-0.094,-20.369,11.76,other_row_crop
0.5278,-0.1741,-15.06,1.581,paddy_rice
0.5586,-0.3642,-15.298,7.596,other_row_crop
0.564,-0.1006,-18.179,4.604,paddy_rice
0.6311,-0.1631,-17.82,10.932,wheat_cereal
0.506,-0.0334,-14.749,2.979,paddy_rice
0.5918,-0.2254,-16.692,3.787,other_row_crop
0.4715,-0.117,-14.11,0.968,paddy_rice
0.2574,-0.1029,-18.322,5.155,other_row_crop
0.6653,-0.0525,-19.858,13.024,wheat_cereal
0.5977,-0.3964,-19.726,12.731,wheat_cereal
0.2846,-0.1162,-17.525,3.943,other_row_crop
0.3492,-0.2361,-19.389,8.173,wheat_cereal
0.6643,-0.2556,-13.961,0.167,paddy_rice
0.4627,-0.2362,-15.266,8.636,wheat_cereal
0.5026,-0.0384,-15.035,6.327,paddy_rice
0.5091,-0.1161,-16.541,2.83,paddy_rice
0.4405,-0.3184,-14.802,13.634,other_row_crop
0.5013,-0.1059,-15.895,3.959,other_row_crop
0.3888,-0.0895,-18.587,4.549,other_row_crop
0.5481,-0.1787,-14.488,11.248,wheat_cereal
0.517,-0.2229,-14.612,6.461,other_row_crop
0.4619,-0.4381,-18.603,12.028,wheat_cereal
0.6225,-0.3627,-20.4,11.874,wheat_cereal
0.4647,-0.0438,-16.065,4.405,paddy_rice
0.5079,0.0923,-13.867,5.378,paddy_rice
0.4134,-0.1277,-13.383,1.331,paddy_rice
0.3276,-0.2848,-19.095,4.667,other_row_crop
0.578,-0.0116,-15.739,5.739,paddy_rice
0.4337,-0.1997,-21.916,12.011,wheat_cereal
